文字id,中文描述
id,chinese
string,string
Long1,本游戏部分文本和设定来自正史、野史和类书笔记。
Long2,"眼前甲午风云的火焰仍旧跃然不息，耳旁宁远大捷的战旗依然猎猎作响。每一个王朝交替，每一度盛衰无常，我们在史书中都会看到战火绵延九边，白骨铺满中原。

身为华夏子孙的我们，如今已然远离战火久矣，但每在身边听闻那些似乎早已埋藏在故纸堆中的祖辈英雄往事，每当沉浸在回望历史的激情澎湃中，你的心中是否曾有过一次看似飘渺的向往？

假如，假如你有一个机会，暂时离开现在的人生，去跨越历史长河中的千百年，当你踏上如此熟悉却从未触摸过的那方土地，成为一个自己都不认识的人，让一切重新开始。

你将会做些什么？

也许现在，是到了做一个选择的时候了……"
Long3,志曰：夫志也者，史之流也。自列国掌记之职不存，而郡邑之志作，盖藉以考俗、求治、仰止、进修，而为信史于一方者，非以饰吏事而广见闻也。兹唯任亦大唯艰哉。先王疆理天下，必因地之势而分州画野以治焉。故夫物采之华灿然并囿而不乱者，皆地之为也。图治理者，不可不知。
Story1,序幕
Story2,0
Story3,0
Story4,0
Story5,0
Story6,0
Story7,0
Story8,0
Story9,0
Story10,0
System_1,游戏提示
System_2,提示
System_3,新
System_4,更多信息
System_5,点击继续
System_6,确定
System_7,取消
System_8,点击任意区域继续
System_9,进入游戏
System_10,输入数量
System_11,输入姓名
System_12,输入文字
System_13,0
Nomal_1,极劣
Nomal_2,较劣
Nomal_3,劣
Nomal_4,中下
Nomal_5,中平
Nomal_6,中上
Nomal_7,良
Nomal_8,较优
Nomal_9,极优
Nomal_10,无
Nomal_11,：
Nomal_12,未知
Nomal_13,LV.
Nomal_14,公元
Nomal_15,年
Nomal_16,月
Nomal_17,天
Nomal_18,时辰
Nomal_19,刻
Nomal_20,旬
Nomal_21,未知
Nomal_22,无
Nomal_23,极小
Nomal_24,较小
Nomal_25,小
Nomal_26,中小
Nomal_27,中
Nomal_28,中大
Nomal_29,大
Nomal_30,较大
Nomal_31,极大
Nomal_32,日
Nomal_33,正
Nomal_34,腊
Nomal_35,十
Nomal_36,白
Nomal_37,千
Nomal_38,万
Nomal_39,一
Nomal_40,二
Nomal_41,三
Nomal_42,四
Nomal_43,五
Nomal_44,六
Nomal_45,七
Nomal_46,八
Nomal_47,九
Nomal_48,月
Nomal_49,初
Nomal_50,子时
Nomal_51,丑时
Nomal_52,寅时
Nomal_53,卯时
Nomal_54,辰时
Nomal_55,巳时
Nomal_56,午时
Nomal_57,未时
Nomal_58,申时
Nomal_59,酉时
Nomal_60,戌时
Nomal_61,亥时
Nomal_62,春
Nomal_63,夏
Nomal_64,秋
Nomal_65,冬
Nomal_66,清晨
Nomal_67,白昼
Nomal_68,傍晚
Nomal_69,黑夜
Nomal_70,人
Tips_2,新道具
Tips_3,数量
Tips_4,全部拿走
Tips_5,决定
Tips_6,返回
Tips_7,再想想
Tips_8,决定了
Tips_9,系统提示
Tips_10,点击空白处关闭
MainMenu_1,序言
MainMenu_2,明
MainMenu_3,大明旅途
MainMenu_4,踏上旅程
MainMenu_5,旅途里程碑
MainMenu_6,准备工作
MainMenu_7,结束旅途
MainMenu_8,新的旅程
MainMenu_9,回首往事
MainMenu_10,旅途目的地
MainMenu_11,0
MainMenu_12,0
MainMenu_13,0
MainMenu_14,0
MainMenu_15,0
MainMenu_16,0
MainMenu_17,0
MainMenu_18,0
MainMenu_19,0
MainMenu_20,0
Tips_System_1,即将添加{0}相关辞任流程。
Tips_System_2,注：在任务列表中找到对应流程，完成后即可辞任成功。
Tips_System_3,我再想想
Tips_System_4,继续辞任
Tips_System_5,放弃后此事务将会消失，确定吗？
Tips_System_6,此事务无法放弃。
Tips_System_7,将放弃还价开启回扣密议，确定吗？
Tips_System_8,将放弃回扣密议开启讨价还价，确定吗？
Tips_System_9,操作会立即生效，确定吗？
Tips_System_10,即将开除员工{0}，开除后员工对你的好感度将降为0，开除操作会立即生效，确定吗？
Tips_System_11,行囊中的物品不足。
Tips_System_12,行囊快放不下了。
Tips_System_13,有未掌握的学识，无法继续。
Tips_System_14,学识尚浅，可能效果达不到预期，继续吗？
Tips_System_15,有未掌握的技法，无法继续。
Tips_System_16,技法熟练度不足，可能效果达不到预期，继续吗？
Tips_System_17,当前精力不济，无法继续。
Tips_System_18,当前体力不济，无法继续。
Tips_System_19,要删除此物品吗？
Tips_System_20,金钱不足。
Tips_System_21,时间模式
Tips_System_22,变更时间模式，需要结束今天的行程，确定吗？
Tips_System_23,返回
Tips_System_24,取消
Tips_Title_1,新消息
Tips_Title_2,新事务
Tips_Title_3,新交游
Tips_Title_4,新学识
Tips_Title_5,新技法
Tips_Title_6,已添加至{0}列表！
Tips_Title_7,商品行情：
Tips_Title_8,
Tips_Title_9,0
Tips_Title_10,0
Tips_Title_11,0
Tips_Lable1,你当前的身份不适合开启回扣密议。
Tips_Lable2,讨价还价成功！
Tips_Lable3,回扣密议成功！
Tips_Lable4,谈判成功！
Tips_Lable5,讨价还价失败！
Tips_Lable6,回扣密议失败！
Tips_Lable7,谈判失败！
Tips_Lable8,职位已调整。（注：职位调整将在第二天生效。）
Tips_Lable9,你已经有工作，辞职后才能申请新工作。
Tips_Lable10,发布任务成功！
Tips_Lable11,存档成功！
Tips_Lable12,是否覆盖之前存档？
Tips_Lable13,0
Tips_Lable14,0
Tips_Lable15,0
Tips_Lable16,0
Tips_Lable17,0
Tips_Lable18,0
Tips_Lable19,0
Tips_Lable20,0
Tips_Button1,汇报店务
Tips_Button2,汇报账务
Tips_Button3,职事调整
Tips_Button4,日常闲聊
Main_1,人物
Main_2,学识
Main_3,技法
Main_4,交游
Main_5,事务
Main_6,消息
Main_7,行囊
Main_8,随从
Main_9,地图模式
Main_10,即时模式
Force_1,类型
Force_2,疆域
Force_3,历史
Force_4,现况
Force_5,首都
Force_6,统治者
Force_7,人口
Force_8,交战势力
Force_9,势力名称
Force_10,势力旗帜
Force_11,军事实力
Force_12,全势力列表
Force_13,详情
Force_14,0
Force_15,0
Force_16,0
Force_17,0
Force_18,0
Force_19,0
Force_20,0
Scene_1,所属势力
Scene_2,行政单位
Scene_3,隶属
Scene_4,治所
Scene_5,正官
Scene_6,地理
Scene_7,区域等级
Scene_8,首府城市
Scene_9,沿革
Scene_10,分土
Scene_11,里
Scene_12,附
Scene_13,机构
Scene_14,最高行政衙门
Scene_15,最高军政衙门
Scene_16,最高学府
Scene_17,其他
Scene_18,民情
Scene_19,地亩
Scene_20,丁口
Scene_21,存银
Scene_22,存粮
Scene_23,岁入
Scene_24,田赋总计：
Scene_25,银两总计：
Scene_26,经费
Scene_27,其他
Scene_28,介绍
Scene_29,财政
Scene_30,（仅含征粮地亩）
Scene_31,（仅本县户籍丁口）
Scene_32,（各仓总计）
Scene_33,（各库总计）
Scene_34,田赋税率：
Scene_35,商事税率：
Scene_36,0
Scene_37,0
Scene_38,0
Scene_39,0
Scene_40,0
Scene_41,0
Scene_42,0
Scene_43,0
Scene_44,0
Scene_45,0
Org_1,隶属势力
Org_2,上级机构
Org_3,下属机构
Org_4,机构成员
Org_5,首领官：
Org_6,其他
Org_7,介绍
Org_8,组成
Org_9,成员
Org_10,0
Role_1,字
Role_2,号
Role_3,性别
Role_4,性格
Role_5,故乡
Role_6,年龄
Role_7,魅力
Role_8,幸运
Role_9,善恶
Role_10,功绩
Role_11,名望
Role_12,势力
Role_13,体质
Role_14,行动
Role_15,武力
Role_16,耐力
Role_17,魄力
Role_18,毅力
Role_19,谋略
Role_20,应变
Role_21,饱腹
Role_22,健康
Role_23,心情
Role_24,气力
Role_25,负重
Role_26,身高
Role_27,体重
Role_28,头像
Role_29,信息
Role_30,身份
Role_31,经历
Role_32,人物・
Role_33,本朝
Role_34,传记
Role_35,属性
Role_36,装备
Role_37,配饰
Role_38,公服
Role_39,常服
Role_40,素服
Role_41,当前冠服：
Role_42,隐藏
Role_43,显示
Role_44,当前状态：
Role_45,在任
Role_46,品级：
Role_47,全部
Role_48,职业
Role_49,官职
Role_50,荣衔
Role_51,爵位
Role_52,称号
Role_53,职事
Role_54,已解锁
Role_55,未解锁
Role_56,提示：一些身份更衣后方可使用身份职能。
Role_57,更衣
Role_58,身份类型
Role_59,状态
Role_60,身份说明
Role_61,所属机构
Role_62,身份职能
Role_63,就任要求
Role_64,学识技法
Role_65,福利俸禄
Role_66,附加属性
Role_67,成长进度
Role_68,辞任
Role_69,身份详情
Role_70,体态
Role_71,神思
Role_72,生活
Role_73,武具
Role_74,甲胄
Role_75,历史名人
Role_76,隶属势力
Role_77,交游
Role_78,更多信息
Role_79,其他
Role_80,男
Role_81,女
Building_1,产权所属
Building_2,繁荣度
Building_3,当前状态
Building_4,耐久度
Building_5,售出价格
Building_6,说明
Building_7,功能
Building_8,功能类型
Building_9,功能属性
Building_10,0
Building_11,0
Building_12,0
Building_13,0
Building_14,0
Building_15,0
Building_16,0
Building_17,0
Building_18,0
Building_19,0
Building_20,0
Building_21,0
Building_22,0
Bag_1,整理
Bag_2,重量
Bag_3,大小
Bag_4,行囊物品
Bag_5,携带金钱
Bag_6,金钱
Bag_7,使用
Bag_8,丢弃
Bag_9,0
skill_1,读万卷书
skill_2,行万里路
skill_3,初学
skill_4,上手
skill_5,入门
skill_6,一般
skill_7,熟悉
skill_8,熟练
skill_9,精通
skill_10,大师
skill_11,宗师
skill_12,说明：诸学历练值的增加，为各项生活、事务处理所得。
skill_13,效果
skill_14,介绍
skill_15,称号
skill_16,熟练度
skill_17,作者：
skill_18,艺法
skill_19,医术
skill_20,江湖
skill_21,农作
skill_22,匠作
skill_23,商术
skill_24,杂货类
skill_25,武器类
skill_26,衣物类
skill_27,珍宝类
skill_28,医药类
skill_29,食材类
skill_30,饮食类
skill_31,书籍类
skill_32,手工类
skill_33,建筑类
skill_34,交通类
skill_35,特殊类
skill_36,身份类
skill_37,任务类
skill_38,系统类
skill_39,学习
skill_40,开启配方
skill_41,返回技法
skill_42,技法水平
skill_43,预计收获
skill_44,个人成长
skill_45,返回类目
skill_46,配方记载
skill_47,配方内容
skill_48,学识类目
skill_49,阶段
skill_50,途径
skill_51,成长
skill_52,说明：诸学历练值的增加，为各项生活、事务处理所得。
skill_53,主动技法
skill_54,配方类目
skill_55,器具所需
skill_56,材料所需
skill_57,人力所需
skill_58,耗时
skill_59,要求
skill_60,商店工坊
skill_61,物品
skill_62,花费
skill_63,注：订做无须消耗配方材料与人力，但也无额外收获与成长。
skill_64,经典
skill_65,文集
skill_66,兵书
skill_67,经义
skill_68,学典
skill_69,圣贤：
skill_70,当前称号
skill_71,阅历
skill_72,程度
skill_73,开启技法
skill_74,水平
skill_75,配方・
skill_76,订做
skill_77,经学
skill_78,文学
skill_79,韬略
skill_80,宗教
skill_81,杂学
Task_1,当前
Task_2,档案
Task_3,公务
Task_4,个人
Task_5,限期
Task_6,不限
Task_7,倒计时
Task_8,事务详情
Task_9,事务回报
Task_10,完成进度
Task_11,要求
Task_12,期限
Task_13,事务处理
Task_14,说明
Task_15,放弃
Task_16,未开始
Task_17,进行中
Task_18,已完成
Task_19,当前状态
News_1,消息记录
News_2,进行中
News_3,已完成
News_4,已核实
News_5,已忽略
News_6,详情
News_7,忽略
News_8,前往核实
News_9,忽略消息
News_10,消息时间
News_11,线索：
News_12,最新消息
News_13,{0}前得知
News_14,刚刚
News_15,更多消息
News_16,全部消息
News_17,进行
News_18,档案
News_19,获知时间：
News_20,忽略消息
News_21,过
News_22,略
Design_1,装潢
Design_2,家具
Design_3,装饰品
Design_4,全部回收
Design_5,取消修改
Design_6,保存装潢
Design_7,将装潢物品拖动到此处进行回收
Design_8,出售
Identity_1,前往官府办理入籍
Identity_2,需要启动资金：
Identity_3,需要学识：
Identity_4,需要技法：
Identity_5,需要资产：住房（可以租用）
Identity_6,选择行当
Identity_7,开启身份事务
Trade1,货郎
Trade2,商会
Trade3,小店铺
Trade4,大店铺
Trade5,商行
Trade6,0
Trade7,0
Trade8,0
Deal1,讨价还价
Deal2,回扣密议
Deal3,市场价
Deal4,打折后
Deal5,溢价总值
Deal6,回扣数额
Deal7,回扣
Deal8,还价
Things1,职位一览
Things2,店主
Things3,招募布告
Things4,请假
Things5,性格
Things6,联系方式
Things7,上级
Things8,寄送信件
Things9,联系到店
Things10,关系
Things11,打烊
Things12,明日开店时间
Things13,设定时间
Things14,休业
Things15,选择完成
Things16,目标任务
Things17,任务安排
Things18,剩余时间
Things19,阶段任务
Things20,申请任务
Things21,委托奖励
Things22,委托任务
Things23,事务发布
Things24,设定事务
Things25,额外奖励
Things26,设定人手
Things27,设定期限
Things28,发布
Things29,查看详情
Things30,选择
Things31,个人事务
Things32,固定任务
Things33,职事・评价
Things34,总体
Things35,评价详情
Things36,本月
Things37,雇佣资料
Things38,剩余：
Things39,放入行囊
Things40,当前存量
Things41,看护者
Things42,货仓容量
Things43,每日损耗
Things44,货仓建筑
Things45,雇佣
Things46,损耗数量
Things47,当前容量
Things48,陈放损耗
Things49,整修
Things50,货仓
Things51,储藏品
Things52,货仓详情
Things53,升级
Things54,自己
Things55,赠送礼物
Things56,礼物列表
Things57,对象
Things58,时间
Things59,名目
Things60,费用
Things61,货物
Things62,变化/储量
Things63,小型店铺
Things64,中型店铺
Things65,大型店铺
Things66,摊主：
Things67,店铺信息
Things68,货郎信息
Things69,休假
Things70,扣除薪水
Things71,剩余假期
Things72,申请职位
Things73,招募布告
Things74,人物信息
Things75,调整职位
Things76,奖励
Things77,处罚
Things78,提薪
Things79,降薪
Things80,开革
Things81,选择任务
Things82,不限人手
Things83,每日安排
Things84,扩容
Things85,防火
Things86,防盗
Things87,仓库磨损
Things88,易火灾率
Things89,易遭窃率
Things90,易脏乱率
Things91,0
Things92,0
Things93,0
Relation1,交流
Relation2,当前
Relation3,临时
Relation4,敌对
Relation5,友好
Relation6,维持状态
Relation7,加深状态
Relation8,减弱状态
Relation9,拜帖
Relation10,书信
Relation11,赠礼
Relation12,宴请
Relation13,聚会
Relation14,0
Relation15,0
Relation16,0
MakeRecipe1,灶台
MakeRecipe2,制药台
MakeRecipe3,织机
MakeRecipe4,熔炉
MakeRecipe5,窑厂
MakeRecipe6,精雕工作台
MakeRecipe7,仿制工作台
MakeRecipe8,书桌
MakeRecipe9,木工台
MakeRecipe10,手工台
MakeRecipe11,0
MakeRecipe12,0
MakeRecipe13,0
MakeRecipe14,0
MakeRecipe15,0
Transport1,放入物品
Transport2,拿出物品
Transport3,行囊
Transport4,货架
Transport5,仓库
Transport6,存放处
Transport7,存放限制
Transport8,拿出
Transport9,放入
Transport10,已选中
Transport11,0
Transport12,0
BuildingType_0,通用
BuildingType_1,政治
BuildingType_2,军事
BuildingType_3,文化
BuildingType_4,商业
BuildingType_5,住宅
BuildingType_6,田地
BuildingType_7,景观
BuildingType_8,临时
Part_fangyu_1,无有
Part_fangyu_2,简陋
Part_fangyu_3,一般
Part_fangyu_4,坚固
Part_fangyu_5,不动
Part_zhian_1,混乱
Part_zhian_2,危险
Part_zhian_3,一般
Part_zhian_4,安全
Part_zhian_5,文明
Part_weisheng_1,肮脏
Part_weisheng_2,不洁
Part_weisheng_3,普通
Part_weisheng_4,干净
Part_weisheng_5,整洁
Part_fanrong_1,无人
Part_fanrong_2,清冷
Part_fanrong_3,普通
Part_fanrong_4,热闹
Part_fanrong_5,繁华
BuildingMode_0,点击鼠标左键创建模块，点击鼠标右键返回查看模式。
BuildingMode_1,点击鼠标左键：根据点击位置创建选中类型的区域。
BuildingMode_2,状态错误：区域大小超出，最大格子数为：
BuildingMode_3,状态错误：区域大小不足，最小格子数为：
BuildingMode_4,创建错误：已选区域范围内有其他障碍，请重新创建区域。
BuildingMode_5,当前状态：正在查看场景……
BuildingMode_6,格子坐标：
BuildingMode_7,归属区域：
BuildingMode_8,点击鼠标右键：删除本区域点击位置下方所有格子。
BuildingMode_9,当前操作：区域删除
BuildingMode_10,已删除区域：{0}，区域ID为：{1}，区域大小：{2}。
BuildingMode_11,当前操作：区域保存
BuildingMode_12,保存成功，区域名称：{0}，区域ID为：{1}，区域大小：{2}。
BuildingMode_13,保存失败，当前所选区域为空。
BuildingMode_14,当前操作：场景保存
BuildingMode_15,保存成功，场景区域数量为{0}个。
BuildingMode_16,保存失败，当前场景为空。
BuildingMode_17,保存成功，但有{0}个区域中没有建筑。
BuildingMode_18,当前操作：读取场景信息
BuildingMode_19,请重新命名！
BuildingMode_20,输入有误，请重新输入！
BuildingMode_21,输入提示
BuildingMode_22,点击添加建筑+
BuildingMode_23,已解锁
BuildingMode_24,未解锁
BuildingMode_25,移除成功！
BuildingMode_26,添加建筑
BuildingMode_27,添加成功！
BuildingMode_28,添加失败，建筑已满！
BuildingMode_29,移除建筑
BuildingMode_30,区域创建
BuildingMode_31,保存失败：区域太小，最小格子数量为：
BuildingMode_32,保存失败：区域太大，最大格子数量为：
BuildingMode_33,保存失败：数据错误，区域格子数量与选中范围不匹配。已删除模块，需要重新创建。
BuildingMode_34,删除模块
BuildingMode_35,取消操作
BuildingMode_36,未发现任何保存过的场景。
BuildingMode_37,查看已有场景
BuildingMode_38,是否返回场景选择模式？
